,Sal,Óleo,Cebola,Coentro,Alho,Cúrcuma,Gengibre,Água,Tomate,Açúcar
Sal,1.0,0.3470183416158221,0.26966398834402855,0.24332587328388997,0.2391714565767985,0.26000582610840517,0.1676645448606722,0.05721002212307382,0.17770610929826175,-0.09035572989505086
Óleo,0.3470183416158221,1.0,0.20223640179516156,0.22185822152222612,0.11419599140891178,0.3421437268704554,0.2082947465956931,0.04918281765895678,0.07969677734233001,-0.07761524335491439
Cebola,0.26966398834402855,0.20223640179516156,1.0,0.2847809576717223,0.4172051603122979,0.24620654360931496,0.315227363742843,-0.01995843965553991,0.38824213526189033,-0.11585110719051755
Coentro,0.24332587328388997,0.22185822152222612,0.2847809576717223,1.0,0.1590949233750661,0.3282698356984833,0.23026681335497254,-0.02131963022712758,0.2503775794469593,-0.12464585927366703
Alho,0.2391714565767985,0.11419599140891178,0.4172051603122979,0.1590949233750661,1.0,0.15709520065229554,0.3423129835082434,-0.034769074837770586,0.23073969954916423,-0.0876046792061287
Cúrcuma,0.26000582610840517,0.3421437268704554,0.24620654360931496,0.3282698356984833,0.15709520065229554,1.0,0.26728388489875987,-0.00873198378307299,0.21756839964637628,-0.10435949705006972
Gengibre,0.1676645448606722,0.2082947465956931,0.315227363742843,0.23026681335497254,0.3423129835082434,0.26728388489875987,1.0,0.00645030717328745,0.20122786656603192,-0.061619504203168224
Água,0.05721002212307382,0.04918281765895678,-0.01995843965553991,-0.02131963022712758,-0.034769074837770586,-0.00873198378307299,0.00645030717328745,1.0,-0.033309940106568826,0.1661850346386855
Tomate,0.17770610929826175,0.07969677734233001,0.38824213526189033,0.2503775794469593,0.23073969954916423,0.21756839964637628,0.20122786656603192,-0.033309940106568826,1.0,-0.07731530978247113
Açúcar,-0.09035572989505086,-0.07761524335491439,-0.11585110719051755,-0.12464585927366703,-0.0876046792061287,-0.10435949705006972,-0.061619504203168224,0.1661850346386855,-0.07731530978247113,1.0
